[2020-05-18 12:13:12,204] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2020-05-18 12:13:51,955] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2020-05-18 12:13:52,152] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2020-05-18 12:13:52,176] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ZkReplicaStateMachine)
[2020-05-18 12:13:52,178] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ZkReplicaStateMachine)
[2020-05-18 12:13:52,189] INFO [ReplicaStateMachine controllerId=0] Triggering offline replica state changes (kafka.controller.ZkReplicaStateMachine)
[2020-05-18 12:13:52,190] DEBUG [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> Map() (kafka.controller.ZkReplicaStateMachine)
[2020-05-18 12:13:52,191] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.ZkPartitionStateMachine)
[2020-05-18 12:13:52,193] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.ZkPartitionStateMachine)
[2020-05-18 12:13:52,196] INFO [RequestSendThread controllerId=0] Controller 0 connected to DESKTOP-MLIOJ8F:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2020-05-18 12:13:52,204] DEBUG [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> Map() (kafka.controller.ZkPartitionStateMachine)
[2020-05-18 12:13:52,205] INFO [Controller id=0] Ready to serve as the new controller with epoch 1 (kafka.controller.KafkaController)
[2020-05-18 12:13:52,219] INFO [Controller id=0] Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2020-05-18 12:13:52,220] INFO [Controller id=0] Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2020-05-18 12:13:52,221] INFO [Controller id=0] Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2020-05-18 12:13:52,222] INFO [Controller id=0] Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2020-05-18 12:13:52,225] INFO [Controller id=0] Starting replica leader election (PREFERRED) for partitions  triggered by ZkTriggered (kafka.controller.KafkaController)
[2020-05-18 12:13:52,256] INFO [Controller id=0] Starting the controller scheduler (kafka.controller.KafkaController)
[2020-05-18 12:13:57,260] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2020-05-18 12:13:57,260] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2020-05-18 12:15:05,097] INFO [Controller id=0] Shutting down broker 0 (kafka.controller.KafkaController)
[2020-05-18 12:15:05,097] DEBUG [Controller id=0] All shutting down brokers: 0 (kafka.controller.KafkaController)
[2020-05-18 12:15:05,098] DEBUG [Controller id=0] Live brokers:  (kafka.controller.KafkaController)
[2020-05-18 12:15:05,126] TRACE [Controller id=0] All leaders =  (kafka.controller.KafkaController)
[2020-05-18 12:15:06,754] INFO [ControllerEventThread controllerId=0] Shutting down (kafka.controller.ControllerEventManager$ControllerEventThread)
[2020-05-18 12:15:06,756] INFO [ControllerEventThread controllerId=0] Stopped (kafka.controller.ControllerEventManager$ControllerEventThread)
[2020-05-18 12:15:06,756] INFO [ControllerEventThread controllerId=0] Shutdown completed (kafka.controller.ControllerEventManager$ControllerEventThread)
[2020-05-18 12:15:06,758] DEBUG [Controller id=0] Resigning (kafka.controller.KafkaController)
[2020-05-18 12:15:06,759] DEBUG [Controller id=0] Unregister BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2020-05-18 12:15:06,761] INFO [PartitionStateMachine controllerId=0] Stopped partition state machine (kafka.controller.ZkPartitionStateMachine)
[2020-05-18 12:15:06,762] INFO [ReplicaStateMachine controllerId=0] Stopped replica state machine (kafka.controller.ZkReplicaStateMachine)
[2020-05-18 12:15:06,762] INFO [RequestSendThread controllerId=0] Shutting down (kafka.controller.RequestSendThread)
[2020-05-18 12:15:06,762] INFO [RequestSendThread controllerId=0] Stopped (kafka.controller.RequestSendThread)
[2020-05-18 12:15:06,762] INFO [RequestSendThread controllerId=0] Shutdown completed (kafka.controller.RequestSendThread)
[2020-05-18 12:15:06,765] INFO [Controller id=0] Resigned (kafka.controller.KafkaController)
